,ds,y
1151,2013-02-25,102
1152,2013-02-26,141
1153,2013-02-27,134
1154,2013-02-28,175
1155,2013-03-01,174
1156,2013-03-02,140
1157,2013-03-03,104
1158,2013-03-04,128
1159,2013-03-05,185
1160,2013-03-06,188
1161,2013-03-07,156
1162,2013-03-08,130
1163,2013-03-09,144
1164,2013-03-10,109
1165,2013-03-11,118
1166,2013-03-12,147
1167,2013-03-13,167
1168,2013-03-14,155
1169,2013-03-15,139
1170,2013-03-16,106
1171,2013-03-17,123
1172,2013-03-18,120
1173,2013-03-19,154
1174,2013-03-20,162
1175,2013-03-21,157
1176,2013-03-22,138
1177,2013-03-23,111
1178,2013-03-24,117
1179,2013-03-25,117
1180,2013-03-26,144
1181,2013-03-27,195
1182,2013-03-28,180
1183,2013-03-29,153
1184,2013-03-30,114
1185,2013-03-31,97
1186,2013-04-01,107
1187,2013-04-02,141
1188,2013-04-03,172
1189,2013-04-04,166
1190,2013-04-05,147
1191,2013-04-06,123
1192,2013-04-07,128
1193,2013-04-08,137
1194,2013-04-09,139
1195,2013-04-10,170
1196,2013-04-11,147
1197,2013-04-12,128
1198,2013-04-13,110
1199,2013-04-14,84
1200,2013-04-15,94
1201,2013-04-16,110
1202,2013-04-17,157
1203,2013-04-18,185
1204,2013-04-19,121
1205,2013-04-20,113
1206,2013-04-21,105
1207,2013-04-22,143
1208,2013-04-23,155
1209,2013-04-24,178
1210,2013-04-25,165
1211,2013-04-26,171
1212,2013-04-27,136
1213,2013-04-28,135
1214,2013-04-29,110
1215,2013-04-30,153
1216,2013-05-01,165
1217,2013-05-02,170
1218,2013-05-03,166
1219,2013-05-04,109
1220,2013-05-05,108
1221,2013-05-06,119
1222,2013-05-07,148
1223,2013-05-08,155
1224,2013-05-09,199
1225,2013-05-10,142
1226,2013-05-11,115
1227,2013-05-12,87
1228,2013-05-13,120
1229,2013-05-14,159
1230,2013-05-15,178
1231,2013-05-16,152
1232,2013-05-17,143
1233,2013-05-18,104
1234,2013-05-19,93
1235,2013-05-20,104
1236,2013-05-21,159
1237,2013-05-22,183
1238,2013-05-23,160
1239,2013-05-24,134
1240,2013-05-25,98
1241,2013-05-26,127
1242,2013-05-27,134
1243,2013-05-28,123
1244,2013-05-29,147
1245,2013-05-30,162
1246,2013-05-31,158
